amount,change,close,high,low,open,pct_chg,pre_close,trade_date,ts_code,vol
176831.461,0.15,9.48,9.53,9.33,9.33,1.6077,9.33,20250630,002636.SZ,187310.0
270198.461,0.3,9.78,9.83,9.33,9.49,3.1646,9.48,20250701,002636.SZ,281937.2
182730.058,-0.41,9.37,9.69,9.31,9.67,-4.1922,9.78,20250702,002636.SZ,194017.0
347941.476,0.94,10.31,10.31,9.34,9.34,10.032,9.37,20250703,002636.SZ,343854.96
72453.267,1.03,11.34,11.34,11.34,11.34,9.9903,10.31,20250704,002636.SZ,63891.77
1012585.208,1.13,12.47,12.47,10.99,11.23,9.9647,11.34,20250707,002636.SZ,835765.5
835302.81,1.25,13.72,13.72,12.3,12.86,10.0241,12.47,20250708,002636.SZ,635533.62
108110.479,1.37,15.09,15.09,15.09,15.09,9.9854,13.72,20250709,002636.SZ,71643.79
2785402.995,0.06,15.15,16.6,14.97,16.6,0.3976,15.09,20250710,002636.SZ,1736470.63
2144220.594,-1.51,13.64,14.79,13.64,14.51,-9.967,15.15,20250711,002636.SZ,1539655.74
1349014.266,-1.28,12.36,12.98,12.33,12.81,-9.3842,13.64,20250714,002636.SZ,1070431.0
1110041.267,0.0,12.36,12.82,12.19,12.55,0.0,12.36,20250715,002636.SZ,885008.74
784661.833,-0.28,12.08,12.34,11.92,12.25,-2.2654,12.36,20250716,002636.SZ,648448.14
836580.661,0.34,12.42,12.63,11.99,12.0,2.8146,12.08,20250717,002636.SZ,676083.37
681344.239,-0.34,12.08,12.49,12.08,12.3,-2.7375,12.42,20250718,002636.SZ,557879.87
600830.458,0.26,12.34,12.38,11.98,12.1,2.1523,12.08,20250721,002636.SZ,493370.5
486685.075,-0.28,12.06,12.44,12.0,12.26,-2.269,12.34,20250722,002636.SZ,399806.86
342708.836,-0.24,11.82,12.09,11.8,11.93,-1.99,12.06,20250723,002636.SZ,288011.44
311578.572,0.06,11.88,12.02,11.77,11.81,0.5076,11.82,20250724,002636.SZ,262543.4
306681.697,-0.19,11.69,11.96,11.67,11.85,-1.5993,11.88,20250725,002636.SZ,260886.68
759310.441,0.63,12.32,12.46,11.72,11.72,5.3892,11.69,20250728,002636.SZ,627105.8
532356.541,-0.08,12.24,12.5,11.94,12.21,-0.6494,12.32,20250729,002636.SZ,437080.32
289935.047,-0.17,12.07,12.25,11.95,12.2,-1.3889,12.24,20250730,002636.SZ,239833.6
462232.046,-0.08,11.99,12.39,11.92,12.06,-0.6628,12.07,20250731,002636.SZ,379586.1
267608.139,-0.15,11.84,12.1,11.77,11.83,-1.251,11.99,20250801,002636.SZ,224873.91
190080.123,0.0,11.84,11.87,11.67,11.7,0.0,11.84,20250804,002636.SZ,161405.43
236223.061,0.15,11.99,12.0,11.73,11.88,1.2669,11.84,20250805,002636.SZ,198867.44
176218.613,-0.01,11.98,12.11,11.85,11.94,-0.0834,11.99,20250806,002636.SZ,147240.86
231927.348,-0.09,11.89,12.08,11.71,11.93,-0.7513,11.98,20250807,002636.SZ,195365.61
172830.862,0.05,11.94,12.08,11.74,11.8,0.4205,11.89,20250808,002636.SZ,145071.69
402607.464,0.4,12.34,12.34,11.91,11.93,3.3501,11.94,20250811,002636.SZ,329838.36
520704.335,0.11,12.45,12.59,12.3,12.35,0.8914,12.34,20250812,002636.SZ,418683.17
417036.455,0.05,12.5,12.57,12.29,12.45,0.4016,12.45,20250813,002636.SZ,335684.01
656418.112,-0.18,12.32,12.87,12.3,12.64,-1.44,12.5,20250814,002636.SZ,523464.97
789510.88,1.23,13.55,13.55,12.19,12.19,9.9838,12.32,20250815,002636.SZ,610381.43
1494847.773,0.11,13.66,14.29,13.58,14.08,0.8118,13.55,20250818,002636.SZ,1075867.96
818856.081,-0.28,13.38,13.68,13.18,13.55,-2.0498,13.66,20250819,002636.SZ,610884.97
733005.799,0.12,13.5,13.97,13.04,13.25,0.8969,13.38,20250820,002636.SZ,542324.04
443721.721,-0.34,13.16,13.49,13.05,13.28,-2.5185,13.5,20250821,002636.SZ,336479.19
599004.103,0.24,13.4,13.65,13.1,13.14,1.8237,13.16,20250822,002636.SZ,446564.34
900005.251,0.46,13.86,13.86,13.35,13.6,3.4328,13.4,20250825,002636.SZ,661691.42
1026595.697,0.32,14.18,14.5,13.4,13.79,2.3088,13.86,20250826,002636.SZ,734709.39
776366.53,-0.91,13.27,14.05,13.22,13.83,-6.4175,14.18,20250827,002636.SZ,565397.95
794755.007,1.33,14.6,14.6,12.99,13.21,10.0226,13.27,20250828,002636.SZ,576973.13
