ann_date,cash_div,cash_div_tax,div_proc,end_date,ex_date,pay_date,record_date,stk_div,ts_code
20230831,0.0,0.0,预案,20230630,,,,0.0,002636.SZ
20240429,0.0,0.06,预案,20231231,,,,0.0,002636.SZ
20240429,0.0,0.06,股东大会通过,20231231,,,,0.0,002636.SZ
20240429,0.06,0.06,实施,20231231,20240618,20240618,20240617,0.0,002636.SZ
20240831,0.0,0.0,预案,20240630,,,,0.0,002636.SZ
20250429,0.0,0.085,预案,20241231,,,,0.0,002636.SZ
20250429,0.0,0.085,股东大会通过,20241231,,,,0.0,002636.SZ
20250429,0.085,0.085,实施,20241231,20250529,20250529,20250528,0.0,002636.SZ
20250830,0.0,0.0,预案,20250630,,,,0.0,002636.SZ
20260429,0.0,0.125,预案,20251231,,,,0.0,002636.SZ
20260429,0.0,0.125,股东大会通过,20251231,,,,0.0,002636.SZ
20260429,0.125,0.125,实施,20251231,20260528,20260528,20260527,0.0,002636.SZ
