ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002636.SZ,20240704,5.98,6.07,5.81,5.83,6.03,-0.2,-3.3167,53751.0,31825.964
002636.SZ,20240705,5.8,5.85,5.65,5.83,5.83,0.0,0.0,58123.0,33418.821
002636.SZ,20240708,5.83,5.93,5.69,5.7,5.83,-0.13,-2.2298,61613.64,35591.982
002636.SZ,20240709,5.73,5.99,5.61,5.97,5.7,0.27,4.7368,72431.04,42402.771
002636.SZ,20240710,5.92,6.06,5.87,6.03,5.97,0.06,1.005,51646.0,30997.052
002636.SZ,20240711,6.15,6.35,6.08,6.34,6.03,0.31,5.141,84747.0,52903.618
002636.SZ,20240712,6.3,6.45,6.24,6.38,6.34,0.04,0.6309,63427.0,40255.356
002636.SZ,20240715,6.56,6.65,6.26,6.43,6.38,0.05,0.7837,182569.0,117333.845
002636.SZ,20240716,6.41,7.07,6.36,7.07,6.43,0.64,9.9533,162306.46,112790.318
002636.SZ,20240717,7.07,7.16,6.66,6.69,7.07,-0.38,-5.3748,352356.22,239188.486
002636.SZ,20240718,6.57,6.58,6.29,6.53,6.69,-0.16,-2.3916,209416.05,134320.275
002636.SZ,20240719,6.36,6.57,6.25,6.45,6.53,-0.08,-1.2251,153138.97,99100.526
002636.SZ,20240722,6.42,6.59,6.41,6.52,6.45,0.07,1.0853,119768.36,77804.934
002636.SZ,20240723,6.51,6.51,6.26,6.28,6.52,-0.24,-3.681,113217.98,72303.1
002636.SZ,20240724,6.23,6.36,6.06,6.08,6.28,-0.2,-3.1847,95311.0,58945.709
002636.SZ,20240725,6.0,6.21,5.98,6.09,6.08,0.01,0.1645,68530.0,41705.839
002636.SZ,20240726,6.09,6.23,6.09,6.18,6.09,0.09,1.4778,60977.0,37630.044
002636.SZ,20240729,6.15,6.24,6.08,6.18,6.18,0.0,0.0,43279.0,26681.676
002636.SZ,20240730,6.13,6.24,6.09,6.19,6.18,0.01,0.1618,43252.37,26727.359
002636.SZ,20240731,6.18,6.5,6.17,6.49,6.19,0.3,4.8465,79923.37,51076.242
002636.SZ,20240801,6.49,6.56,6.45,6.52,6.49,0.03,0.4622,62030.04,40370.817
002636.SZ,20240802,6.43,6.5,6.3,6.32,6.52,-0.2,-3.0675,47705.26,30558.377
002636.SZ,20240805,6.25,6.31,6.03,6.05,6.32,-0.27,-4.2722,66629.0,41031.581
002636.SZ,20240806,6.11,6.2,6.05,6.16,6.05,0.11,1.8182,40809.0,24964.119
002636.SZ,20240807,6.18,6.27,6.15,6.21,6.16,0.05,0.8117,37449.0,23262.192
002636.SZ,20240808,6.15,6.28,6.08,6.2,6.21,-0.01,-0.161,35729.0,22051.959
002636.SZ,20240809,6.21,6.33,6.21,6.23,6.2,0.03,0.4839,31561.0,19725.553
002636.SZ,20240812,6.25,6.29,6.13,6.16,6.23,-0.07,-1.1236,34976.0,21741.93
002636.SZ,20240813,6.15,6.29,6.12,6.28,6.16,0.12,1.9481,30537.0,19005.773
002636.SZ,20240814,6.22,6.35,6.22,6.33,6.28,0.05,0.7962,33420.0,21087.711
002636.SZ,20240815,6.35,6.45,6.28,6.45,6.33,0.12,1.8957,52351.63,33509.115
002636.SZ,20240816,6.48,6.61,6.46,6.55,6.45,0.1,1.5504,61939.26,40581.139
002636.SZ,20240819,6.57,6.63,6.44,6.47,6.55,-0.08,-1.2214,51016.0,33190.039
002636.SZ,20240820,6.43,6.49,6.31,6.34,6.47,-0.13,-2.0093,48123.0,30758.089
002636.SZ,20240821,6.38,6.43,6.3,6.35,6.34,0.01,0.1577,40747.0,25923.675
002636.SZ,20240822,6.36,6.4,6.2,6.22,6.35,-0.13,-2.0472,33830.85,21230.431
002636.SZ,20240823,6.22,6.3,6.12,6.24,6.22,0.02,0.3215,37415.45,23239.453
002636.SZ,20240826,6.25,6.4,6.21,6.38,6.24,0.14,2.2436,38039.0,24091.073
002636.SZ,20240827,6.35,6.45,6.14,6.17,6.38,-0.21,-3.2915,52937.0,33182.457
002636.SZ,20240828,6.13,6.29,6.13,6.22,6.17,0.05,0.8104,34760.0,21601.651
002636.SZ,20240829,6.19,6.45,6.15,6.41,6.22,0.19,3.0547,46248.0,29311.105
002636.SZ,20240830,6.41,6.6,6.36,6.56,6.41,0.15,2.3401,68345.0,44800.575
002636.SZ,20240902,6.98,7.22,6.85,7.05,6.56,0.49,7.4695,339594.15,242772.523
002636.SZ,20240903,6.83,7.02,6.66,6.7,7.05,-0.35,-4.9645,367826.01,249052.165
002636.SZ,20240904,6.69,6.76,6.62,6.7,6.7,0.0,0.0,164589.0,110346.581
002636.SZ,20240905,6.69,6.95,6.65,6.84,6.7,0.14,2.0896,157424.27,107391.787
002636.SZ,20240906,6.94,6.97,6.66,6.68,6.84,-0.16,-2.3392,101976.1,68850.83
002636.SZ,20240909,6.62,6.79,6.59,6.7,6.68,0.02,0.2994,74951.0,50023.338
002636.SZ,20240910,6.7,6.83,6.61,6.8,6.7,0.1,1.4925,73695.93,49521.457
002636.SZ,20240911,6.76,6.85,6.71,6.73,6.8,-0.07,-1.0294,64696.0,43815.196
002636.SZ,20240912,6.61,6.73,6.6,6.6,6.73,-0.13,-1.9316,74602.75,49558.672
