ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300408.SZ,20240704,28.02,28.39,27.93,28.15,27.89,0.26,0.9322,82253.57,231795.115
300408.SZ,20240705,28.11,28.42,27.75,28.29,28.15,0.14,0.4973,66558.24,186599.791
300408.SZ,20240708,28.4,28.77,28.03,28.2,28.29,-0.09,-0.3181,92973.6,264254.159
300408.SZ,20240709,28.03,29.07,27.91,28.9,27.92,0.98,3.51,130206.88,372947.218
300408.SZ,20240710,29.03,29.3,28.91,29.26,28.9,0.36,1.2457,110279.07,320922.421
300408.SZ,20240711,29.6,30.77,29.38,30.41,29.26,1.15,3.9303,211454.82,636922.943
300408.SZ,20240712,29.99,30.31,29.63,30.28,30.41,-0.13,-0.4275,94953.66,284654.731
300408.SZ,20240715,30.2,30.63,30.11,30.34,30.28,0.06,0.1982,89538.54,272600.279
300408.SZ,20240716,30.25,31.99,30.25,31.92,30.34,1.58,5.2076,250368.24,785278.799
300408.SZ,20240717,32.08,32.63,31.47,31.65,31.92,-0.27,-0.8459,212379.7,677142.833
300408.SZ,20240718,31.35,31.6,30.87,31.43,31.65,-0.22,-0.6951,149546.35,467362.272
300408.SZ,20240719,33.49,34.54,33.2,33.95,31.43,2.52,8.0178,399109.68,1351789.247
300408.SZ,20240722,34.16,34.16,33.09,33.36,33.95,-0.59,-1.7378,259183.63,866805.815
300408.SZ,20240723,33.49,33.49,32.44,32.5,33.36,-0.86,-2.5779,109978.1,361420.283
300408.SZ,20240724,32.5,32.75,31.94,32.07,32.5,-0.43,-1.3231,118628.22,383036.771
300408.SZ,20240725,31.88,32.16,31.44,32.0,32.07,-0.07,-0.2183,122512.51,390329.454
300408.SZ,20240726,32.01,32.99,31.79,32.57,32.0,0.57,1.7813,148664.07,482546.475
300408.SZ,20240729,32.4,32.88,32.1,32.49,32.57,-0.08,-0.2456,101062.73,328884.465
300408.SZ,20240730,32.4,32.55,31.92,32.33,32.49,-0.16,-0.4925,74503.53,240506.393
300408.SZ,20240731,32.47,33.13,32.2,32.75,32.33,0.42,1.2991,130815.67,428531.361
300408.SZ,20240801,33.02,33.45,32.54,32.66,32.75,-0.09,-0.2748,84541.03,277578.343
300408.SZ,20240802,32.54,32.62,31.58,31.98,32.66,-0.68,-2.0821,109105.77,349047.287
300408.SZ,20240805,31.62,31.95,30.61,30.95,31.98,-1.03,-3.2208,167646.45,522086.229
300408.SZ,20240806,31.31,31.7,31.2,31.6,30.95,0.65,2.1002,106477.33,334435.072
300408.SZ,20240807,31.49,32.27,31.41,31.85,31.6,0.25,0.7911,84926.85,272007.282
300408.SZ,20240808,31.73,32.56,31.65,32.06,31.85,0.21,0.6593,100142.0,321776.461
300408.SZ,20240809,32.26,32.47,31.7,31.71,32.06,-0.35,-1.0917,55071.86,176108.823
300408.SZ,20240812,31.68,32.08,31.6,31.69,31.71,-0.02,-0.0631,60627.62,193047.122
300408.SZ,20240813,31.67,32.13,31.48,31.72,31.69,0.03,0.0947,74165.65,235250.521
300408.SZ,20240814,31.88,32.0,31.05,31.22,31.72,-0.5,-1.5763,58481.66,183281.326
300408.SZ,20240815,31.18,31.47,30.52,30.8,31.22,-0.42,-1.3453,108669.41,335401.65
300408.SZ,20240816,30.72,30.9,30.3,30.51,30.8,-0.29,-0.9416,100274.0,306257.278
300408.SZ,20240819,30.38,30.68,30.21,30.34,30.51,-0.17,-0.5572,75690.0,230292.686
300408.SZ,20240820,30.36,30.72,30.03,30.3,30.34,-0.04,-0.1318,65621.97,198918.066
300408.SZ,20240821,30.21,30.59,29.95,30.03,30.3,-0.27,-0.8911,81704.2,246918.583
300408.SZ,20240822,29.95,30.08,29.33,29.83,30.03,-0.2,-0.666,94277.22,279771.108
300408.SZ,20240823,29.82,30.27,29.7,30.13,29.83,0.3,1.0057,57401.39,172153.024
300408.SZ,20240826,30.12,30.23,29.55,30.08,30.13,-0.05,-0.1659,74239.4,222002.868
300408.SZ,20240827,30.01,30.17,29.46,29.52,30.08,-0.56,-1.8617,53257.96,157610.55
300408.SZ,20240828,29.53,29.86,29.38,29.72,29.52,0.2,0.6775,51944.15,153638.301
300408.SZ,20240829,29.51,30.31,29.31,30.0,29.72,0.28,0.9421,95715.56,286893.42
300408.SZ,20240830,30.37,31.94,30.32,31.4,30.0,1.4,4.6667,159831.11,503580.982
300408.SZ,20240902,31.32,31.49,30.4,30.49,31.4,-0.91,-2.8981,125943.8,387444.37
300408.SZ,20240903,30.41,31.09,30.29,30.87,30.49,0.38,1.2463,73754.38,227236.171
300408.SZ,20240904,30.59,30.74,30.21,30.37,30.87,-0.5,-1.6197,58799.0,178765.645
300408.SZ,20240905,30.33,31.12,30.17,30.43,30.37,0.06,0.1976,72301.77,221522.357
300408.SZ,20240906,30.45,30.46,29.74,29.79,30.43,-0.64,-2.1032,50860.0,152592.879
300408.SZ,20240909,29.52,30.01,29.37,29.6,29.79,-0.19,-0.6378,63363.64,187472.1
300408.SZ,20240910,29.66,30.25,29.32,30.04,29.6,0.44,1.4865,71276.58,212101.053
300408.SZ,20240911,29.96,30.0,29.52,29.66,30.04,-0.38,-1.265,53643.06,159496.172
300408.SZ,20240912,29.7,29.95,28.87,29.05,29.66,-0.61,-2.0566,102341.62,298163.42
300408.SZ,20240913,29.1,30.08,28.91,29.63,29.05,0.58,1.9966,109412.0,325627.413
300408.SZ,20240918,29.62,29.89,29.21,29.77,29.63,0.14,0.4725,69234.0,204244.992
300408.SZ,20240919,29.91,30.0,29.3,29.65,29.77,-0.12,-0.4031,89593.12,266093.9
300408.SZ,20240920,29.65,29.85,29.4,29.65,29.65,0.0,0.0,81593.76,241721.766
300408.SZ,20240923,29.6,30.15,29.5,29.89,29.65,0.24,0.8094,72484.43,217125.997
300408.SZ,20240924,30.08,30.7,29.55,30.62,29.89,0.73,2.4423,123209.8,372348.233
300408.SZ,20240925,30.96,31.5,30.74,31.01,30.62,0.39,1.2737,131131.76,409173.56
300408.SZ,20240926,31.0,31.77,30.57,31.7,31.01,0.69,2.2251,119858.0,373096.16
300408.SZ,20240927,31.95,34.0,31.95,33.19,31.7,1.49,4.7003,194900.93,641060.232
300408.SZ,20240930,34.57,37.28,34.27,37.1,33.19,3.91,11.7807,318444.63,1142806.747
