ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000300.SH,20240710,3425.8818,3447.505,3423.6483,3428.9657,3439.8111,-10.8454,-0.3153,127203456.0,198149476.8491
000300.SH,20240711,3451.0442,3473.9837,3438.118,3468.169,3428.9657,39.2033,1.1433,145892466.0,237551298.4816
000300.SH,20240712,3459.9564,3479.0958,3457.3633,3472.4014,3468.169,4.2324,0.122,130874589.0,205055553.8564
000300.SH,20240715,3462.6113,3481.4613,3460.7915,3476.2467,3472.4014,3.8453,0.1107,118517083.0,171584915.3795
000300.SH,20240716,3466.8523,3500.2943,3464.3655,3498.2827,3476.2467,22.036,0.6339,120659017.0,200456285.0775
000300.SH,20240717,3494.209,3514.4753,3486.2229,3501.5836,3498.2827,3.3009,0.0944,131802062.0,222830802.5284
000300.SH,20240718,3483.2975,3522.7995,3475.7236,3520.931,3501.5836,19.3474,0.5525,123768199.0,215783795.7026
000300.SH,20240719,3500.8052,3545.3383,3493.0734,3539.0156,3520.931,18.0846,0.5136,132447975.0,228065104.129
000300.SH,20240722,3538.4012,3540.1874,3494.0143,3514.9249,3539.0156,-24.0907,-0.6807,132126337.0,217457320.4039
000300.SH,20240723,3509.7887,3509.7887,3439.8779,3439.8779,3514.9249,-75.047,-2.1351,128897660.0,202857560.1687
000300.SH,20240724,3432.3459,3451.4196,3408.4129,3418.1663,3439.8779,-21.7116,-0.6312,127036263.0,184884499.7868
000300.SH,20240725,3404.611,3415.8557,3383.7991,3399.2716,3418.1663,-18.8947,-0.5528,131022242.0,190131464.8347
000300.SH,20240726,3403.7084,3420.8201,3388.6601,3409.2931,3399.2716,10.0215,0.2948,124195558.0,187853329.4778
000300.SH,20240729,3404.3663,3408.5024,3388.8444,3390.742,3409.2931,-18.5511,-0.5441,109787786.0,166697103.8231
000300.SH,20240730,3380.6893,3380.6893,3352.8043,3369.3821,3390.742,-21.3599,-0.6299,104952164.0,165442824.4902
000300.SH,20240731,3364.0268,3445.0042,3364.0268,3442.0844,3369.3821,72.7023,2.1577,171959177.0,258249147.3364
000300.SH,20240801,3443.1397,3448.3361,3419.1872,3419.2666,3442.0844,-22.8178,-0.6629,136323464.0,206038002.5177
000300.SH,20240802,3393.9167,3419.1023,3380.9645,3384.3919,3419.2666,-34.8747,-1.0199,116615255.0,179671192.4276
000300.SH,20240805,3362.1117,3409.0314,3343.3205,3343.3205,3384.3919,-41.0714,-1.2136,142812516.0,223631266.5632
000300.SH,20240806,3367.3517,3376.7956,3318.6251,3342.9789,3343.3205,-0.3416,-0.0102,119340279.0,181724693.8475
000300.SH,20240807,3338.5909,3362.3839,3329.9658,3341.489,3342.9789,-1.4899,-0.0446,95084377.0,145078975.3255
000300.SH,20240808,3332.4281,3364.7855,3320.8432,3342.9369,3341.489,1.4479,0.0433,92495695.0,149482926.2265
000300.SH,20240809,3358.128,3366.6688,3331.6274,3331.6274,3342.9369,-11.3095,-0.3383,91511626.0,142852166.5592
000300.SH,20240812,3327.5561,3338.0771,3319.8908,3325.8645,3331.6274,-5.7629,-0.173,79938754.0,117544892.7265
