ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603667.SH,20240710,14.66,14.96,14.49,14.7,14.88,-0.18,-1.2097,87327.5,128612.558
603667.SH,20240711,15.0,15.33,14.79,15.05,14.7,0.35,2.381,91929.36,138006.594
603667.SH,20240712,15.1,15.1,14.57,14.57,15.05,-0.48,-3.1894,77079.79,113411.661
603667.SH,20240715,14.57,14.57,13.85,14.06,14.57,-0.51,-3.5003,86937.7,122533.582
603667.SH,20240716,14.0,14.38,13.85,14.27,14.06,0.21,1.4936,67141.79,94629.822
603667.SH,20240717,14.18,14.22,13.88,13.88,14.27,-0.39,-2.733,50194.12,70332.463
603667.SH,20240718,13.8,14.0,13.51,13.88,13.88,0.0,0.0,67848.0,93153.515
603667.SH,20240719,13.81,14.22,13.72,14.0,13.88,0.12,0.8646,57017.0,80334.957
603667.SH,20240722,14.01,14.43,14.0,14.35,14.0,0.35,2.5,66652.0,95044.101
603667.SH,20240723,14.88,14.98,14.17,14.31,14.35,-0.04,-0.2787,86043.34,124880.945
603667.SH,20240724,14.0,14.26,13.85,13.85,14.31,-0.46,-3.2145,70101.9,98156.151
603667.SH,20240725,13.77,14.05,13.58,13.87,13.85,0.02,0.1444,57427.6,79380.453
603667.SH,20240726,13.75,14.28,13.75,14.28,13.87,0.41,2.956,72697.75,102770.367
603667.SH,20240729,14.25,14.5,14.05,14.25,14.28,-0.03,-0.2101,57637.84,81741.342
603667.SH,20240730,14.19,14.92,13.84,14.6,14.25,0.35,2.4561,126928.81,183647.897
603667.SH,20240731,14.58,15.99,14.46,15.78,14.6,1.18,8.0822,237694.49,366464.708
603667.SH,20240801,15.65,15.75,15.35,15.44,15.78,-0.34,-2.1546,134908.0,209161.401
603667.SH,20240802,15.27,15.37,14.87,14.89,15.44,-0.55,-3.5622,88848.28,134340.99
603667.SH,20240805,14.75,15.22,14.64,14.65,14.89,-0.24,-1.6118,106307.98,159173.356
603667.SH,20240806,14.9,15.06,14.65,14.94,14.65,0.29,1.9795,72111.0,107055.17
603667.SH,20240807,14.92,15.19,14.88,14.98,14.94,0.04,0.2677,82361.0,123976.49
603667.SH,20240808,14.85,14.88,14.28,14.31,14.98,-0.67,-4.4726,88255.62,127545.393
603667.SH,20240809,14.44,14.5,14.2,14.28,14.31,-0.03,-0.2096,44538.0,63782.614
603667.SH,20240812,14.24,14.44,13.96,14.22,14.28,-0.06,-0.4202,42421.36,60235.925
603667.SH,20240813,14.15,14.46,14.12,14.36,14.22,0.14,0.9845,47632.83,68069.058
603667.SH,20240814,14.3,14.48,14.14,14.3,14.36,-0.06,-0.4178,49125.86,70252.629
603667.SH,20240815,14.0,14.75,13.88,14.54,14.3,0.24,1.6783,86251.46,124378.33
603667.SH,20240816,14.45,14.65,14.34,14.41,14.54,-0.13,-0.8941,47190.6,68335.46
603667.SH,20240819,14.39,14.49,14.09,14.11,14.41,-0.3,-2.0819,44029.0,62733.475
603667.SH,20240820,14.14,14.19,13.72,13.98,14.11,-0.13,-0.9213,45994.61,63920.003
603667.SH,20240821,13.87,14.3,13.8,14.14,13.98,0.16,1.1445,69982.0,98531.178
603667.SH,20240822,14.1,14.1,13.01,13.15,14.14,-0.99,-7.0014,113298.34,152053.421
603667.SH,20240823,13.1,13.39,12.95,12.95,13.15,-0.2,-1.5209,46052.31,60288.446
