ts_code,trade_date,open,close
000001.SZ,20210701,22.81,23.2
000002.SZ,20210701,23.89,24.98
000004.SZ,20210701,18.5,17.73
000005.SZ,20210701,1.87,1.83
000006.SZ,20210701,5.02,5.0
000007.SZ,20210701,4.13,4.12
000008.SZ,20210701,2.22,2.2
000009.SZ,20210701,18.53,17.35
000010.SZ,20210701,4.03,3.96
000011.SZ,20210701,12.08,12.12
000012.SZ,20210701,10.23,10.07
000014.SZ,20210701,7.82,7.75
000016.SZ,20210701,6.68,6.5
000017.SZ,20210701,3.58,3.5
000019.SZ,20210701,7.32,7.36
000020.SZ,20210701,9.82,9.46
000021.SZ,20210701,19.09,18.83
000023.SZ,20210701,15.14,14.93
000025.SZ,20210701,14.88,14.79
000026.SZ,20210701,13.88,13.67
000027.SZ,20210701,9.19,8.82
000028.SZ,20210701,37.94,38.29
000029.SZ,20210701,7.54,7.46
000030.SZ,20210701,6.37,6.33
000031.SZ,20210701,3.63,3.64
000032.SZ,20210701,19.11,18.95
000034.SZ,20210701,22.37,20.38
000035.SZ,20210701,4.58,4.46
000036.SZ,20210701,4.52,4.66
000037.SZ,20210701,8.5,8.19
000038.SZ,20210701,11.17,11.1
000039.SZ,20210701,18.19,17.7
000040.SZ,20210701,2.8,2.72
000042.SZ,20210701,8.41,8.43
000045.SZ,20210701,9.06,8.73
000046.SZ,20210701,2.3,2.29
000048.SZ,20210701,18.7,18.14
000049.SZ,20210701,45.57,44.65
000050.SZ,20210701,14.18,13.73
000055.SZ,20210701,4.63,4.52
000056.SZ,20210701,2.69,2.71
000058.SZ,20210701,5.88,5.75
000059.SZ,20210701,8.13,7.66
000060.SZ,20210701,4.55,4.42
000061.SZ,20210701,5.52,5.5
000062.SZ,20210701,18.08,18.6
000063.SZ,20210701,33.33,32.81
000065.SZ,20210701,8.58,8.19
000066.SZ,20210701,14.71,14.11
000068.SZ,20210701,2.71,2.67
000069.SZ,20210701,7.48,7.82
000070.SZ,20210701,8.07,7.7
000078.SZ,20210701,3.25,3.34
000088.SZ,20210701,5.55,5.47
000089.SZ,20210701,7.79,7.75
000090.SZ,20210701,5.53,5.52
000096.SZ,20210701,9.47,9.34
000099.SZ,20210701,6.7,6.58
000100.SZ,20210701,7.65,7.37
000150.SZ,20210701,4.38,4.48
000151.SZ,20210701,7.47,7.36
000153.SZ,20210701,9.8,9.69
000155.SZ,20210701,13.8,13.29
000156.SZ,20210701,7.71,7.67
000157.SZ,20210701,9.25,9.1
000158.SZ,20210701,11.46,10.34
000159.SZ,20210701,6.02,5.91
000166.SZ,20210701,4.71,4.63
000301.SZ,20210701,21.07,19.49
000333.SZ,20210701,71.3,73.24
000338.SZ,20210701,17.78,17.42
000400.SZ,20210701,12.67,12.42
000401.SZ,20210701,12.36,12.53
000402.SZ,20210701,6.77,6.78
000403.SZ,20210701,31.11,30.76
000404.SZ,20210701,3.89,3.88
000407.SZ,20210701,4.06,4.01
000408.SZ,20210701,22.32,23.46
000409.SZ,20210701,5.1,4.99
000410.SZ,20210701,4.11,4.08
000411.SZ,20210701,13.22,13.46
000413.SZ,20210701,2.08,2.03
000415.SZ,20210701,2.41,2.37
000416.SZ,20210701,4.03,3.89
000417.SZ,20210701,4.52,4.45
000419.SZ,20210701,4.45,4.49
000420.SZ,20210701,3.58,3.46
000421.SZ,20210701,5.11,5.11
000422.SZ,20210701,8.92,8.78
000423.SZ,20210701,36.0,36.33
000425.SZ,20210701,6.6,6.4
000426.SZ,20210701,7.59,7.47
000428.SZ,20210701,2.81,2.79
000429.SZ,20210701,7.2,7.22
000430.SZ,20210701,5.39,5.27
000488.SZ,20210701,8.17,8.16
000498.SZ,20210701,5.6,5.51
000501.SZ,20210701,11.76,11.62
000502.SZ,20210701,5.46,5.53
000503.SZ,20210701,7.41,7.48
000504.SZ,20210701,20.18,20.2
000505.SZ,20210701,7.21,7.14
000506.SZ,20210701,2.08,2.09
000507.SZ,20210701,6.05,5.86
000509.SZ,20210701,3.1,3.15
000510.SZ,20210701,4.76,4.67
000513.SZ,20210701,50.29,49.83
000514.SZ,20210701,3.38,3.41
000516.SZ,20210701,18.66,18.73
000517.SZ,20210701,2.65,2.68
000518.SZ,20210701,3.68,3.7
000519.SZ,20210701,10.77,10.19
000520.SZ,20210701,3.25,3.22
000521.SZ,20210701,3.41,3.36
000523.SZ,20210701,3.43,3.29
000524.SZ,20210701,7.67,7.47
000525.SZ,20210701,3.87,3.79
000526.SZ,20210701,26.4,26.75
000528.SZ,20210701,8.22,8.0
000529.SZ,20210701,5.56,5.46
000530.SZ,20210701,3.87,3.78
000531.SZ,20210701,8.06,7.92
000532.SZ,20210701,15.0,14.07
000533.SZ,20210701,2.91,2.84
000534.SZ,20210701,13.04,13.23
000536.SZ,20210701,2.68,2.68
000537.SZ,20210701,5.23,5.29
000538.SZ,20210701,117.15,119.7
000539.SZ,20210701,3.76,3.7
000540.SZ,20210701,2.74,2.71
000541.SZ,20210701,5.9,5.87
000543.SZ,20210701,3.79,3.76
000544.SZ,20210701,6.09,6.07
000545.SZ,20210701,3.77,3.61
000546.SZ,20210701,6.52,6.54
000547.SZ,20210701,18.94,18.04
000548.SZ,20210701,3.78,3.73
000550.SZ,20210701,23.41,23.7
000551.SZ,20210701,8.47,8.19
000552.SZ,20210701,2.93,2.88
000553.SZ,20210701,9.21,9.11
000554.SZ,20210701,4.65,4.54
000555.SZ,20210701,14.47,13.94
000557.SZ,20210701,3.54,3.47
000558.SZ,20210701,2.7,2.67
000559.SZ,20210701,5.28,5.29
000560.SZ,20210701,4.5,4.47
000561.SZ,20210701,6.71,6.5
000563.SZ,20210701,3.25,3.2
000564.SZ,20210701,2.59,2.57
000565.SZ,20210701,5.55,5.32
000566.SZ,20210701,5.79,5.92
000567.SZ,20210701,10.68,10.75
000568.SZ,20210701,235.94,236.0
000570.SZ,20210701,5.76,5.5
000571.SZ,20210701,2.09,2.06
000572.SZ,20210701,5.08,5.29
000573.SZ,20210701,3.12,3.07
000576.SZ,20210701,11.96,11.32
000581.SZ,20210701,20.75,20.66
000582.SZ,20210701,8.3,8.2
000584.SZ,20210701,6.45,6.36
000585.SZ,20210701,1.69,1.66
000586.SZ,20210701,7.34,7.22
000587.SZ,20210701,1.79,1.75
000589.SZ,20210701,5.62,5.87
000590.SZ,20210701,8.74,8.84
000591.SZ,20210701,6.25,6.11
000592.SZ,20210701,3.07,3.05
000593.SZ,20210701,4.8,4.72
000595.SZ,20210701,3.07,3.1
000596.SZ,20210701,240.0,243.28
000597.SZ,20210701,5.0,5.08
000598.SZ,20210701,5.22,5.22
000599.SZ,20210701,4.17,4.17
