model,feature,importance,raw_value
linear_regression,市盈率PE(TTM),0.2612849369534793,-0.019896725059866074
linear_regression,股息率(近12个月),0.2582967190311251,0.019669173670515867
linear_regression,净利润同比增长率,0.02603018029954753,0.001982185987135769
linear_regression,营业利润(同比增长率),0.23521240257542125,0.01791131382957196
linear_regression,营业总收入(同比增长率),0.07351859616448443,0.00559840652020638
linear_regression,基本每股收益(同比增长率),0.01454534889489028,0.001107621477287786
linear_regression,growth_score,0.1311118160810523,0.009984103129254988
logistic_regression,市盈率PE(TTM),0.26534731882005963,-0.08237212642554859
logistic_regression,股息率(近12个月),0.2547017163641714,0.07906739768258655
logistic_regression,净利润同比增长率,0.03400214335747237,0.010555331268602986
logistic_regression,营业利润(同比增长率),0.22350652124390005,0.06938343114490625
logistic_regression,营业总收入(同比增长率),0.07316914286165045,0.022713995803877188
logistic_regression,基本每股收益(同比增长率),0.018952422563988543,0.005883426124120552
logistic_regression,growth_score,0.13032073478875755,0.04045564164591965
decision_tree,市盈率PE(TTM),0.14285714285714285,4.0
decision_tree,股息率(近12个月),0.14285714285714285,4.0
decision_tree,净利润同比增长率,0.25,7.0
decision_tree,营业利润(同比增长率),0.03571428571428571,1.0
decision_tree,营业总收入(同比增长率),0.10714285714285714,3.0
decision_tree,基本每股收益(同比增长率),0.14285714285714285,4.0
decision_tree,growth_score,0.17857142857142858,5.0
random_forest,市盈率PE(TTM),0.18444444444444444,166.0
random_forest,股息率(近12个月),0.14222222222222222,128.0
random_forest,净利润同比增长率,0.15,135.0
random_forest,营业利润(同比增长率),0.13111111111111112,118.0
random_forest,营业总收入(同比增长率),0.10222222222222223,92.0
random_forest,基本每股收益(同比增长率),0.13444444444444445,121.0
random_forest,growth_score,0.15555555555555556,140.0
